Timestamp,1. I found it hard to wind down ,2. I was aware of dryness of my mouth ,3. I couldn’t seem to experience any positive feeling at all     ,"4. I experienced breathing difficulty (eg, excessively rapid breathing, breathlessness in the absence of physical exertion)",5. I found it difficult to work up the initiative to do things,6. I tended to over-react to situations    ,"7. I experienced trembling (eg, in the hands) ",8. I felt that I was using a lot of nervous energy,9. I was worried about situations in which I might panic and make a fool of myself     ,10. I felt that I had nothing to look forward to     ,11. I found myself getting agitated     ,12. I found it difficult to relax     ,13. I felt down-hearted and blue     ,14. I was intolerant of anything that kept me from getting on with what I was doing     ,15. I felt I was close to panic     ,16. I was unable to become enthusiastic about anything     ,17. I felt I wasn’t worth much as a person     ,18. I felt that I was rather touchy     ,"19. I was aware of the action of my heart in the absence of physical exertion (eg, sense of heart rate increase, heart missing a beat) ",20. I felt scared without any good reason     ,21. I felt that life was meaningless     ,"1. My friends expect me to be constantly available
online","2. On top of the other things I must do, keeping up with
notifications is a chore ","3. I am nervous about how people will respond to my
posts and photos","4. I feel socially unavailable when I do not have my
phone ","5. I fear my friends are having more rewarding
experiences than me ",6. I have to check too many notifications,"7. I must have my phone with me to know what is going
on ","8. For my friends, it is important that I am constantly
available online","9. I feel anxious about how others will respond when I
share a new photo on social media","10. I fear that others have more rewarding experiences
than me","11. I feel overwhelmed with the flow of
messages/notifications on my phone",12.  I feel lost or “naked” without my phone,13. I get worried when I find out my friends are having fun without me,14. It feels like there is always a reminder – like a flashing light or buzz – that there is some other message that I need to attend to,"15. I am constantly checking my phone for
messages/notifications","16. Most of my friends approve of me being constantly
available online",17. I feel nervous after I share a post or photo to see how others responded to it ,"18. I feel a social obligation to be constantly available
online","19. I feel stress because I must sift through a lot of
unimportant notifications to get to the important ones","20. I put a lot of effort into composing messages and
posts I share online","21. I get anxious when I don’t know what my friends are
up to",22. I put a lot of effort into finding or creating a photo that others will approve of when I post it online,"23. I spend too much time responding to
notifications/messages","24. I feel nervous about how others will respond when I
post new updates on social media",Score1,Score 2,Hour,Minute,
12/8/2025 9:03:42,2,3,2,3,2,2,3,4,3,2,3,4,2,3,3,3,2,2,3,3,2,2,2,1,2,4,1,4,1,1,3,1,2,2,1,4,3,2,1,3,2,3,1,1,1,56,48,9,3,
12/8/2025 10:04:21,1,2,1,1,2,2,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,3,2,2,1,2,2,1,2,1,1,1,1,1,1,3,3,1,2,1,1,3,1,1,1,26,38,10,4,
12/8/2025 11:53:12,3,3,3,4,3,4,4,4,4,2,3,4,4,3,4,4,4,3,4,4,3,4,4,4,3,4,5,5,4,5,5,2,5,5,5,5,3,4,5,3,5,5,3,5,5,74,103,11,53,
12/8/2025 17:20:49,2,2,2,2,2,3,3,3,2,2,2,2,2,1,2,2,2,3,2,2,2,1,3,2,1,2,1,1,2,1,2,1,1,2,4,3,3,2,1,1,3,2,3,3,2,45,47,17,20,
12/10/2025 0:56:29,2,2,4,1,2,1,1,2,2,3,3,4,4,2,2,4,4,2,2,2,3,1,1,2,2,2,1,3,4,1,1,3,2,4,1,5,3,2,1,1,3,3,1,4,2,52,53,0,56,
12/10/2025 20:39:31,3,4,2,3,3,3,2,2,3,2,3,2,3,3,3,2,3,2,3,2,2,2,3,3,4,3,2,3,3,3,3,3,2,4,3,3,4,2,2,3,2,2,2,2,3,55,66,20,39,
12/10/2025 20:44:09,2,1,2,1,3,2,1,2,3,3,2,2,1,3,1,2,2,1,1,1,2,2,1,3,1,3,1,3,2,3,4,1,2,2,1,2,2,4,1,1,1,1,1,1,3,38,46,20,44,
12/10/2025 20:50:14,1,1,2,1,2,3,3,3,1,1,2,1,2,1,1,1,1,2,2,1,1,2,1,1,1,1,2,2,1,1,2,1,1,1,1,3,3,1,1,1,2,1,1,2,1,33,34,20,50,
12/10/2025 21:05:23,3,2,2,2,3,2,2,1,3,1,2,3,2,4,1,1,1,1,1,1,1,3,4,2,5,2,3,4,5,3,2,4,5,2,5,5,5,3,5,5,5,3,5,5,3,39,93,21,5,
12/10/2025 23:50:29,1,1,1,1,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,3,3,4,2,2,1,2,2,1,4,1,2,1,1,2,3,1,2,2,2,1,3,1,2,33,48,23,50,
12/11/2025 12:26:18,3,2,1,2,4,3,3,4,3,2,4,3,3,2,3,1,1,1,3,3,1,1,4,1,4,3,5,5,2,1,3,4,5,2,3,4,3,2,2,5,4,4,5,5,3,52,80,12,26,
12/11/2025 12:27:33,2,1,2,1,2,1,2,4,3,2,3,2,2,1,1,2,2,2,1,2,2,2,1,2,2,3,1,1,1,2,3,2,1,4,1,1,2,1,1,1,3,2,2,1,2,40,42,12,27,
12/11/2025 14:21:23,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23,24,14,21,
12/12/2025 16:01:41,1,1,2,3,4,4,2,2,4,3,2,2,2,3,2,2,2,1,2,2,2,1,1,1,5,3,1,2,2,1,3,1,5,5,3,3,4,3,1,3,2,3,3,3,3,48,62,16,1,
12/13/2025 14:13:09,3,2,2,2,3,2,1,1,2,2,2,2,1,1,1,2,1,1,1,1,2,4,3,1,3,3,1,2,3,1,3,2,2,3,3,4,4,2,3,2,5,4,3,3,2,35,66,14,13,
12/14/2025 19:15:20,3,2,1,1,4,2,2,2,2,1,3,3,1,1,2,1,1,2,2,1,1,4,5,5,1,4,5,3,2,5,4,5,1,4,2,3,2,5,1,3,5,3,5,5,5,38,87,19,15,
12/15/2025 10:22:06,4,4,2,4,4,4,4,4,4,2,4,4,2,4,4,3,1,3,4,4,1,3,5,5,5,2,5,5,3,5,2,5,5,3,5,5,3,3,5,5,5,3,3,5,3,70,98,10,22,
12/15/2025 12:22:08,3,2,1,1,2,3,1,2,2,2,2,2,2,2,1,1,2,2,2,2,1,2,2,3,2,3,4,2,3,2,3,3,2,3,2,3,3,3,2,3,3,3,4,2,3,38,65,12,22,
12/15/2025 12:23:26,2,4,2,2,4,1,1,4,4,1,2,1,1,3,1,2,2,2,1,1,3,3,2,1,2,3,2,5,2,4,3,1,3,2,1,5,5,3,1,1,2,1,1,3,2,44,58,12,23,
12/15/2025 12:24:12,3,1,3,3,4,3,2,3,4,4,3,2,4,3,2,4,4,3,2,3,4,2,2,1,3,2,3,4,3,1,2,1,5,2,2,3,2,1,3,2,3,3,3,1,1,64,55,12,24,
12/15/2025 12:28:18,2,4,2,2,3,2,2,2,3,2,3,3,2,3,2,2,3,2,3,2,2,3,4,2,3,4,2,4,3,2,3,2,3,2,2,3,3,2,2,2,1,2,2,2,2,51,60,12,28,
12/15/2025 12:29:00,3,2,2,2,3,2,3,2,4,2,3,1,2,2,4,2,1,3,4,1,3,3,2,2,3,3,3,4,3,2,3,2,4,4,3,4,3,3,3,2,3,3,2,3,2,51,69,12,29,
12/15/2025 12:30:05,2,3,2,3,2,3,3,2,3,1,3,1,1,2,3,2,2,1,2,1,1,2,1,2,2,3,1,2,1,2,2,1,3,4,2,1,2,3,1,1,3,2,4,1,2,43,48,12,30,
12/15/2025 15:59:24,1,1,3,2,4,4,2,4,4,3,4,2,4,3,2,4,2,4,3,3,4,3,4,4,4,3,4,3,5,4,3,4,5,4,5,4,5,4,3,5,4,3,4,5,4,63,96,15,59,
12/16/2025 10:46:20,2,1,2,1,2,2,1,1,2,1,2,1,1,1,1,2,2,2,1,1,1,3,2,3,2,2,1,2,2,3,2,1,1,1,2,2,2,3,2,1,3,2,3,1,2,30,48,10,46,
12/16/2025 10:46:49,2,1,1,1,3,2,1,2,1,1,1,3,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,4,1,1,1,1,4,1,1,4,1,1,1,4,1,1,1,4,1,28,40,10,46,
12/16/2025 10:47:42,4,1,1,2,3,1,2,2,1,1,2,2,2,1,2,1,1,2,1,1,1,3,2,1,1,1,3,1,2,1,1,2,1,1,1,2,1,1,1,1,2,1,1,2,1,34,34,10,47,
12/16/2025 10:48:13,1,2,2,1,3,3,1,3,2,3,2,3,4,2,1,4,2,1,2,2,4,2,5,3,2,2,2,5,2,4,1,2,4,2,3,4,2,4,1,5,1,3,3,1,4,48,67,10,48,
12/16/2025 10:54:45,2,2,2,1,3,3,1,3,3,2,3,3,1,2,1,2,3,3,2,1,1,5,3,3,2,2,4,2,3,3,2,2,1,2,2,2,2,3,2,4,2,2,2,3,3,44,61,10,54,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
